url,allinfo,detailTitle,price,detailDesc
https://nj.lianjia.com/xiaoqu/2511052617081,"1995年建成 ,板楼,暂无信息,无物业管理服务,南京市秦淮区房地产开发公司,2栋,73户,/秦淮区秦虹路雅居乐花园北门1-6号",江宁路29号,29676,(秦淮长乐路)江宁路29号
https://nj.lianjia.com/xiaoqu/2511052727075,"1995年建成 ,板楼,0.5元/平米/月,暂无信息,南京鼓楼城镇建设综合开发(集团)公司,1栋,77户,/鼓楼区马台街80号",将军庙36号,28777,(鼓楼湖南路)将军庙36号
https://nj.lianjia.com/xiaoqu/1411046677332,"1990年建成 ,板楼,暂无信息,暂无信息,南京市下关城市建设开发（集团）公司,1栋,61户,/鼓楼区北祖师庵3号",盐仓桥17号,28196,(鼓楼建宁路)盐仓桥17号
https://nj.lianjia.com/xiaoqu/1411047330929,"2004年建成 ,板楼,1元/平米/月,街道办事处（委员会）代管物业,江苏新大都置业有限公司,1栋,110户,/秦淮区小火瓦巷42号-临",新大都大厦,27525,(秦淮新街口)洪武路239号
https://nj.lianjia.com/xiaoqu/1411058064776,"2017年建成 ,板楼,暂无信息,无物业管理服务,南京市白下开发四公司,1栋,45户,/秦淮区中华路1号-31",福祥公寓,25696,(秦淮升州路)白衣庵11、15号
https://nj.lianjia.com/xiaoqu/1411041744946,"暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,36户,/鼓楼区永庆村02幢4号",上海路2-8号,28008,(鼓楼华侨路)上海路2-8号
https://nj.lianjia.com/xiaoqu/2511051239773,"暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,4栋,120户,/江宁区文靖路文靖新村359号",东沟巷28号,25540,(江宁东山镇)东沟巷28号
https://nj.lianjia.com/xiaoqu/1411061176588,"2000年建成 ,板楼,1元/平米/月,街道办事处（委员会）代管物业,南京鼓楼城镇建设综合开发(集团)公司,1栋,42户,/鼓楼区厚载巷27号-1",厚载巷31号,27702,(鼓楼湖南路)厚载巷31号
https://nj.lianjia.com/xiaoqu/2511053862135,"1954年建成 ,板楼/塔板结合,0.5至0.6元/平米/月,街道办事处（委员会）代管物业,无开发商,16栋,512户,/鼓楼区燕亭路2号2栋102室",线路新村社区,25087,(鼓楼小市)和燕路63号
https://nj.lianjia.com/xiaoqu/1411063229046,"暂无信息 ,未知类型,暂无信息,暂无信息,鼓楼区房产开发公司,3栋,109户,/鼓楼区建宁路259号",栅栏门铁路埂,24154,(鼓楼建宁路)栅栏门30号
https://nj.lianjia.com/xiaoqu/2511051481516,"暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,13栋,546户,暂无门店信息",天印大道996,25667,(江宁东山镇)江宁
